source_file,Name,CAS,Clean_Name,CC50_raw,CC50_mM,Cell_line,Method,Mw
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)octan-1-aminium bromide",2448400-87-9,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)OCTAN-1-AMINIUM BROMIDE,0.15,0.15,MCF-7,MTS,459.422
ammonium.csv,"N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)octan-1-aminium bromide",1420836-38-9,N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)OCTAN-1-AMINIUM BROMIDE,1.27,1.27,HeLa,MTS,473.449
ammonium.csv,"N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)octan-1-aminium bromide",1420836-38-9,N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)OCTAN-1-AMINIUM BROMIDE,1.77,1.77,HCT-116,MTS,473.449
ammonium.csv,"N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)octan-1-aminium bromide",1420836-38-9,N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)OCTAN-1-AMINIUM BROMIDE,2,2.0,MCF-7,MTS,473.449
ammonium.csv,N-benzyl-1-(5-(chloromethyl)furan-2-yl)methanaminium chloride,2600618-31-1,N-BENZYL-1-(5-(CHLOROMETHYL)FURAN-2-YL)METHANAMINIUM CHLORIDE,1.06,1.06,3215 LS,MTS,272.175
ammonium.csv,N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium chloride,2600618-27-5,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM CHLORIDE,8.8,8.8,3215 LS,MTS,253.729
ammonium.csv,N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium dihydrogen phosphate,2600618-28-6,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM DIHYDROGEN PHOSPHATE,6.1,6.1,3215 LS,MTS,315.262
ammonium.csv,N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium sulfate,2600618-29-7,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM SULFATE,1.56,1.56,3215 LS,MTS,532.615
ammonium.csv,"N-benzyl-N,N-diethylethanaminium bromide",5197-95-5,N-BENZYL-N N-DIETHYLETHANAMINIUM BROMIDE,5.29,5.29,HeLa,MTT,272.23
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,HeLa,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,HeLa,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,K562,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,K562,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,HUVEC,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,>0.5,0.5,HUVEC,MTT,231.792
ammonium.csv,"N-benzyl-N,N-dimethyldecan-1-aminium chloride",965-32-2,N-BENZYL-N N-DIMETHYLDECAN-1-AMINIUM CHLORIDE,0.0045,0.0045,IPC-81,WST-1,311.941
ammonium.csv,"N-benzyl-N,N-dimethyldodecan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",1360613-62-2,N-BENZYL-N N-DIMETHYLDODECAN-1-AMINIUM (1R 3AS 5AR 5BR 7AR 9S 11AR 11BR 13AR 13BR)-9-HYDROXY-5A 5B 8 8 11A-PENTAMETHYL-1-(PROP-1-EN-2-YL)ICOSAHYDRO-3AH-CYCLOPENTA A CHRYSENE-3A-CARBOXYLATE,0.0849,0.0849,SH-SY5Y,MTT,760.245
