Name,CAS,Clean_Name,Source_File
"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)butan-1-aminium bromide",2448400-78-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)BUTAN-1-AMINIUM BROMIDE,ammonium.csv
"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)dodecan-1-aminium bromide",1610863-01-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)DODECAN-1-AMINIUM BROMIDE,ammonium.csv
"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)octan-1-aminium bromide",2448400-87-9,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)OCTAN-1-AMINIUM BROMIDE,ammonium.csv
"N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)octan-1-aminium bromide",1420836-38-9,N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)OCTAN-1-AMINIUM BROMIDE,ammonium.csv
N-benzyl-1-(5-(chloromethyl)furan-2-yl)methanaminium chloride,2600618-31-1,N-BENZYL-1-(5-(CHLOROMETHYL)FURAN-2-YL)METHANAMINIUM CHLORIDE,ammonium.csv
N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium chloride,2600618-27-5,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM CHLORIDE,ammonium.csv
N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium dihydrogen phosphate,2600618-28-6,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM DIHYDROGEN PHOSPHATE,ammonium.csv
N-benzyl-1-(5-(hydroxymethyl)furan-2-yl)methanaminium sulfate,2600618-29-7,N-BENZYL-1-(5-(HYDROXYMETHYL)FURAN-2-YL)METHANAMINIUM SULFATE,ammonium.csv
"N-benzyl-N,N-diethylethanaminium bromide",5197-95-5,N-BENZYL-N N-DIETHYLETHANAMINIUM BROMIDE,ammonium.csv
"N-benzyl-N,N-dimethyl-1-(methylthio)methanaminium chloride",39087-29-1,N-BENZYL-N N-DIMETHYL-1-(METHYLTHIO)METHANAMINIUM CHLORIDE,ammonium.csv
