Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
90-10 CUPRONICKEL,0.25,0.8286596143515917,0.05571053498619531,122,C70600
904L,,,0.0,0,N08904
90CU-10NI,0.8725028695491559,0.931988015035667,0.007076965067102777,2,C70600
94WC-6CO,0.9602525677891274,0.9717522519722059,0.00026448547262109196,2,
94WC-6CO-,0.756304195516401,0.756304195516401,0.0,1,
94WC-6NI,0.8725028695491559,0.9532244167362606,0.0048914368051183165,3,
9CR-1 5MO STEEL,0.9893899157238002,0.9893899157238002,0.0,1,J82090
A-286,0.8044806038373891,0.8044806038373891,0.0,1,K66286
A242 TYPE 1,0.9772759308665283,0.9967458166461165,2.4377132109749146e-05,21,K11510
A242 TYPE1,0.9796473480859893,0.9796473480859893,0.0,1,K11510
A291,0.522516857506527,0.6583843305936687,0.011075897079918018,9,M11910
A514 TYPE B,0.988149015556005,0.9968935891944856,7.676429065966925e-06,21,K11630
A514 TYPE F,0.9832519361552844,0.9935353106072111,1.4974338129513749e-05,12,K11576
A517 TYPE B,0.988149015556005,0.9968935891944856,7.676429065966925e-06,21,K11630
A517 TYPE F,0.9832519361552844,0.9935353106072111,1.4974338129513749e-05,12,K11576
A588 GRADE A,0.9602525677891274,0.9895773038884318,0.00019850318276043986,19,K11430
ACI CD-4MCU,0.9753187159831225,0.9753187159831225,0.0,1,J93370
ACI CF-8M,0.8725028695491559,0.9446575079715608,0.002758348937766189,5,J92900
ACI CN-7M,0.9792503710240241,0.9792503710240241,0.0,1,J95150
ACI CW-12M,0.9902209406955798,0.9902209406955798,0.0,1,
ADMIRALTY BRASS,0.25,0.796493663328289,0.062021052005255276,117,C44300
ADMIRALTY BRASS ANTIMONIAL,0.2696565538080302,0.2797930670297179,0.0002534333021312133,3,C44400
AL 2014,0.9952713111454883,0.9975730367741338,1.6794252230526586e-06,8,
AL 2205,0.5466560638271702,0.895609561247814,0.025744619827485445,16,S31803
AL 29-4-2,0.8588461779709289,0.977767807353405,0.001180891125675079,25,S44800
AL 29-4C,0.9595256769667236,0.9901004240903549,0.00013370370444948327,13,S44735
AL 6XN,0.9031710582573919,0.9045646145470451,3.883998264864033e-06,2,N08367
AL 904L,0.31263119891108504,0.7108786269732875,0.07431307359135482,7,N08904
AL-1MN-2MG,0.9962948156235395,0.9973534758014188,1.375799605566101e-06,3,
AL-29-4C,,,0.0,0,S44735
AL-3MG,0.991473160522178,0.9967644071652809,1.2481718678283407e-05,4,
AL-6X,,,0.0,0,N08366
AL-6XN,0.6585385709929115,0.7970128909314946,0.02634710968872439,4,N08367
AL-MG2SI,1.0,1.0,0.0,1,
AL-MG2SI ALLOYS,0.5,0.5,0.0,1,
AL29-4-2,0.8502741537276025,0.9408205945089438,0.00301670677735116,7,S44800
ALCLAD 2014-T6,0.9998263471021015,0.9998263471021015,0.0,1,
ALCLAD 2024-T3,0.993575498846656,0.9967226235045901,1.9808787225152918e-05,2,
ALCLAD 3003-H14,0.999869748162524,0.999869748162524,0.0,1,
ALCLAD 5155-H34,0.999869748162524,0.999869748162524,0.0,1,
ALCLAD 6061-T6,0.9998263471021015,0.9998263471021015,0.0,1,
ALCLAD 7075-T6,0.9997829541468991,0.9997829541468991,0.0,1,
ALCLAD 7079-T6,0.999869748162524,0.999869748162524,0.0,1,
